schema_version,mapping_version,coverage_id,country,currency,region_resolution,region_basis,vehicle_year,vehicle_make,vehicle_model,body_style,equipment_status,vehicle_context_status,vin_prefill_status,exact_component_position,raw_class,damage_type,repair_operation,labor_category,parts_provenance,materials_method,source_id,source_version,coverage_status,pricing_status,missing_pricing_behavior,unresolved_requirements
1,1,ctx-us-front-windscreen,US,USD,zip,unavailable,manual_confirmation_required,manual_confirmation_required,manual_confirmation_required,manual_confirmation_required,unavailable,manual_confirmation_required,optional_unavailable,front_windscreen,Front-windscreen-damage,unspecified_visible_damage,unresolved_non_interchangeable_options,unresolved,unresolved,unresolved,unavailable,unavailable,unsupported,unavailable,unavailable,"Authorized U.S. source/version, ZIP basis, confirmed vehicle/equipment, reviewed operation, labor, parts, materials, rights, sample, and human review are unavailable."
1,1,ctx-us-headlight,US,USD,zip,unavailable,manual_confirmation_required,manual_confirmation_required,manual_confirmation_required,manual_confirmation_required,unavailable,manual_confirmation_required,optional_unavailable,lateral_confirmation_required,Headlight-damage,unspecified_visible_damage,unresolved_non_interchangeable_options,unresolved,unresolved,unresolved,unavailable,unavailable,unsupported,unavailable,unavailable,"Confirm left/right and exact assembly/equipment; obtain authorized U.S. source/version, ZIP basis, fitment, availability, rights, sample, and human review."
1,1,ctx-us-rear-windscreen,US,USD,zip,unavailable,manual_confirmation_required,manual_confirmation_required,manual_confirmation_required,manual_confirmation_required,unavailable,manual_confirmation_required,optional_unavailable,rear_windscreen,Rear-windscreen-Damage,unspecified_visible_damage,unresolved_non_interchangeable_options,unresolved,unresolved,unresolved,unavailable,unavailable,unsupported,unavailable,unavailable,"Do not inherit front-glass evidence; confirm exact glass/equipment and obtain authorized U.S. source/version, ZIP basis, rights, sample, and human review."
1,1,ctx-us-runningboard,US,USD,zip,unavailable,manual_confirmation_required,manual_confirmation_required,manual_confirmation_required,manual_confirmation_required,unavailable,manual_confirmation_required,optional_unavailable,lateral_confirmation_required,Runningboard-Damage,unspecified_visible_damage,unresolved_non_interchangeable_options,unresolved,unresolved,unresolved,unavailable,unavailable,unsupported,unavailable,unavailable,"Confirm side and component identity without equating running board with rocker panel; source/version, ZIP basis, rights, sample, and review are unavailable."
1,1,ctx-us-sidemirror,US,USD,zip,unavailable,manual_confirmation_required,manual_confirmation_required,manual_confirmation_required,manual_confirmation_required,unavailable,manual_confirmation_required,optional_unavailable,lateral_confirmation_required,Sidemirror-Damage,unspecified_visible_damage,unresolved_non_interchangeable_options,unresolved,unresolved,unresolved,unavailable,unavailable,unsupported,unavailable,unavailable,"Confirm side, subcomponent/assembly, equipment and fitment; source/version, ZIP basis, rights, sample, and review are unavailable."
1,1,ctx-us-taillight,US,USD,zip,unavailable,manual_confirmation_required,manual_confirmation_required,manual_confirmation_required,manual_confirmation_required,unavailable,manual_confirmation_required,optional_unavailable,lateral_confirmation_required,Taillight-Damage,unspecified_visible_damage,unresolved_non_interchangeable_options,unresolved,unresolved,unresolved,unavailable,unavailable,unsupported,unavailable,unavailable,"Confirm left/right and exact assembly/equipment; source/version, ZIP basis, fitment, availability, rights, sample, and review are unavailable."
1,1,ctx-us-bonnet,US,USD,zip,unavailable,manual_confirmation_required,manual_confirmation_required,manual_confirmation_required,manual_confirmation_required,unavailable,manual_confirmation_required,optional_unavailable,bonnet,bonnet-dent,dent,unresolved_non_interchangeable_options,unresolved,unresolved,unresolved,unavailable,unavailable,unsupported,unavailable,unavailable,"Select PDR, conventional repair/refinish, or replacement from evidence; source/version, ZIP basis, rights, sample, and review are unavailable."
1,1,ctx-us-boot,US,USD,zip,unavailable,manual_confirmation_required,manual_confirmation_required,manual_confirmation_required,manual_confirmation_required,unavailable,manual_confirmation_required,optional_unavailable,boot,boot-dent,dent,unresolved_non_interchangeable_options,unresolved,unresolved,unresolved,unavailable,unavailable,unsupported,unavailable,unavailable,"Confirm panel identity and select a supported operation; source/version, ZIP basis, rights, sample, and review are unavailable."
1,1,ctx-us-doorouter,US,USD,zip,unavailable,manual_confirmation_required,manual_confirmation_required,manual_confirmation_required,manual_confirmation_required,unavailable,manual_confirmation_required,optional_unavailable,lateral_and_longitudinal_confirmation_required,doorouter-dent,dent,unresolved_non_interchangeable_options,unresolved,unresolved,unresolved,unavailable,unavailable,unsupported,unavailable,unavailable,"Raw class cannot establish side or front/rear door; source/version, ZIP basis, operation, rights, sample, and review are unavailable."
1,1,ctx-us-fender,US,USD,zip,unavailable,manual_confirmation_required,manual_confirmation_required,manual_confirmation_required,manual_confirmation_required,unavailable,manual_confirmation_required,optional_unavailable,lateral_and_longitudinal_confirmation_required,fender-dent,dent,unresolved_non_interchangeable_options,unresolved,unresolved,unresolved,unavailable,unavailable,unsupported,unavailable,unavailable,"Raw class cannot establish side or longitudinal position; source/version, ZIP basis, operation, rights, sample, and review are unavailable."
1,1,ctx-us-front-bumper,US,USD,zip,unavailable,manual_confirmation_required,manual_confirmation_required,manual_confirmation_required,manual_confirmation_required,unavailable,manual_confirmation_required,optional_unavailable,front_bumper,front-bumper-dent,dent,unresolved_non_interchangeable_options,unresolved,unresolved,unresolved,unavailable,unavailable,unsupported,unavailable,unavailable,"Confirm cover versus assembly and equipment; source/version, ZIP basis, operation, rights, sample, and review are unavailable."
